time,isobaricInhPa,latitude,longitude,z,r,q,t,u,v,w,vo
01-06-24 0:00,1000,16.25,48,592.64844,16.896063,0.004694853,312.72858,-1.3294983,1.3652191,0.07224846,-1.24E-06
01-06-24 0:00,1000,16.25,48.25,574.14844,15.774969,0.004841719,312.14264,-1.8246155,0.99217224,-0.003801346,7.26E-06
01-06-24 0:00,1000,16,48,568.89844,16.396063,0.004787836,311.64264,-1.2982483,-0.15724182,-0.022722244,1.09E-05
01-06-24 0:00,1000,16,48.25,550.64844,16.052313,0.005065832,311.4278,-1.2611389,-0.07130432,-0.05629158,1.52E-05
01-06-24 0:00,850,16.25,48,14573.344,19.002197,0.005930267,302.96237,-0.2615204,2.0390778,0.097501755,6.85E-05
01-06-24 0:00,850,16.25,48.25,14575.594,20.799072,0.006369434,302.6069,-0.4255829,2.261734,0.13363457,3.59E-05
01-06-24 0:00,850,16,48,14575.844,22.412354,0.006524406,302.56784,0.431839,0.78712463,0.04891777,-1.17E-05
01-06-24 0:00,850,16,48.25,14580.094,24.388916,0.007419907,302.09714,-0.47050476,0.62501526,0.049650192,-1.19E-05
01-06-24 0:00,750,16.25,48,25331.969,22.813889,0.004381817,293.65216,-4.117737,-3.328827,-0.47276306,3.30E-05
01-06-24 0:00,750,16.25,48.25,25324.719,22.790451,0.00450198,293.56622,-3.2251587,-4.0065613,-0.19395447,4.20E-05
01-06-24 0:00,750,16,48,25324.469,21.92717,0.00432555,293.5252,-3.2349243,-1.3405457,-0.30723572,-2.78E-05
01-06-24 0:00,750,16,48.25,25318.219,20.907639,0.004206341,293.49396,-2.5923462,-2.002655,0.005264282,-3.45E-05
01-06-24 0:00,500,16.25,48,57795.855,3.0264406,0.000192793,267.95535,-10.121658,-3.6983185,-0.076218605,4.40E-05
01-06-24 0:00,500,16.25,48.25,57786.355,4.9444094,0.000238092,268.00027,-10.502518,-3.6201935,-0.06694126,3.46E-05
01-06-24 0:00,500,16,48,57790.355,8.456128,0.000434311,267.50906,-8.990799,-3.7334747,-0.095261574,4.31E-05
01-06-24 0:00,500,16,48.25,57781.355,9.268628,0.000363977,267.66238,-9.42244,-3.7666779,-0.13188267,4.06E-05
01-06-24 1:00,1000,16.25,48,612.5664,17.869003,0.00470325,312.12122,-1.6070709,1.6217346,0.06225586,-7.54E-06
01-06-24 1:00,1000,16.25,48.25,597.0664,17.701035,0.005335059,311.38684,-2.0894928,1.3678284,-0.022949219,-7.87E-06
01-06-24 1:00,1000,16,48,593.0664,17.599472,0.004784789,310.97668,-1.827774,0.13833618,-0.044067383,2.37E-05
01-06-24 1:00,1000,16,48.25,576.5664,18.415878,0.005398955,310.63098,-1.655899,0.30239868,-0.0769043,1.44E-05
01-06-24 1:00,850,16.25,48,14577.602,19.963913,0.006100815,302.75754,-0.24879456,1.9148865,0.13949108,3.79E-05
01-06-24 1:00,850,16.25,48.25,14579.852,22.1436,0.006667297,302.42746,-0.39527893,2.4344177,0.19393444,1.31E-05
01-06-24 1:00,850,16,48,14582.352,22.61235,0.006504696,302.3845,-0.39527893,0.56918335,0.06795788,-8.55E-06
01-06-24 1:00,850,16,48.25,14586.602,24.948288,0.007484596,301.9548,-1.1355133,0.8680115,0.15365124,-1.08E-05
01-06-24 1:00,750,16.25,48,25332.395,24.080353,0.004539888,293.5329,-4.1111755,-3.9775696,-0.5338316,1.24E-05
01-06-24 1:00,750,16.25,48.25,25324.395,23.732697,0.004629534,293.4743,-3.2361755,-4.8701477,-0.19984722,5.43E-05
01-06-24 1:00,750,16,48,25325.145,22.127228,0.004384201,293.43524,-3.0330505,-1.639679,-0.286273,-4.58E-05
